task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
2334	ec/a23e39	1710563	run_lars (20 (7))	CACHED	0	2018-12-05 22:57:48.639	10s	1.6s	83.4%	47.6 MB	501.8 MB	7.4 MB	32 B
2347	b0/b53d7c	1710573	run_hsic_lasso (20, B = 0 (8))	CACHED	0	2018-12-05 23:01:43.653	1h 25m 25s	3m 14s	1793.9%	28.6 GB	31.4 GB	44.4 MB	54.3 KB
1888	64/8123ea	1708981	run_hsic_lasso (20, B = 5 (2))	CACHED	0	2018-12-05 18:20:33.005	39m 55s	3m 16s	293.1%	584.1 MB	3.2 GB	44.4 MB	54.3 KB
2230	08/8ad101	1710410	run_hsic_lasso (20, B = 20 (6))	CACHED	0	2018-12-05 20:40:08.293	2h 14m 15s	1m 39s	696.6%	2 GB	4.6 GB	44.4 MB	54.3 KB
2345	20/3e7294	1710575	run_lars (20 (8))	CACHED	0	2018-12-05 23:01:48.653	10s	1.7s	87.3%	47.2 MB	501.3 MB	7.4 MB	32 B
2349	31/8c7cb7	1710574	run_hsic_lasso (20, B = 10 (8))	CACHED	0	2018-12-05 23:01:43.695	1h 23m 30s	1m 15s	474.0%	1022.2 MB	3.6 GB	44.4 MB	54.3 KB
2465	b6/c9b5a6	1710721	run_hsic_lasso (20, B = 10 (10))	CACHED	0	2018-12-06 00:24:58.899	42m 10s	3m 23s	477.5%	1022.6 MB	3.6 GB	44.4 MB	54.3 KB
2335	e9/5c78a1	1710558	run_hsic_lasso (20, B = 0 (7))	CACHED	0	2018-12-05 22:56:53.637	1h 7m 30s	7m 10s	1239.5%	28.5 GB	31.4 GB	44.4 MB	54.8 KB
2022	0b/3cacc5	1709165	run_hsic_lasso (20, B = 20 (5))	CACHED	0	2018-12-05 19:16:13.067	51m 30s	2m 1s	648.6%	1.9 GB	4.5 GB	44.4 MB	54.3 KB
2443	46/19b442	1710701	run_hsic_lasso (20, B = 0 (9))	CACHED	0	2018-12-06 00:12:03.836	58m 5s	6m 50s	994.7%	28.6 GB	31.5 GB	44.4 MB	54.8 KB
2227	9f/67427a	1710407	run_hsic_lasso (20, B = 0 (6))	CACHED	0	2018-12-05 20:39:58.332	2h 16m 55s	4m 14s	1102.5%	28.6 GB	31.5 GB	44.4 MB	54.3 KB
1990	49/173b89	1709130	run_hsic_lasso (20, B = 5 (3))	CACHED	0	2018-12-05 18:58:38.019	1h 4m 20s	3m 48s	600.1%	296.7 MB	2.9 GB	44.4 MB	54.8 KB
2020	70/324c9c	1709164	run_hsic_lasso (20, B = 5 (5))	CACHED	0	2018-12-05 19:15:38.239	55m 40s	5m 31s	568.0%	560.7 MB	3.2 GB	44.4 MB	54.8 KB
1959	8c/f0a2af	1709084	run_hsic_lasso (20, B = 0 (4))	CACHED	0	2018-12-05 18:50:27.997	58m 15s	3m 54s	1981.0%	28.4 GB	31.4 GB	44.4 MB	54.3 KB
1991	9f/1ce4fb	1709131	run_hsic_lasso (20, B = 10 (3))	CACHED	0	2018-12-05 18:59:03.020	1h 2m 20s	2m 15s	269.8%	1010.9 MB	3.6 GB	44.4 MB	54.3 KB
2348	2b/84865e	1710570	run_hsic_lasso (20, B = 5 (8))	CACHED	0	2018-12-05 22:59:53.662	1h 25m 15s	2m 54s	399.1%	589.6 MB	3.2 GB	44.4 MB	54.3 KB
1992	5a/352982	1709129	run_hsic_lasso (20, B = 20 (3))	CACHED	0	2018-12-05 18:57:58.011	1h 2m 25s	1m 19s	577.2%	1.8 GB	4.5 GB	44.4 MB	54.3 KB
2228	c1/966c4c	1710408	run_hsic_lasso (20, B = 5 (6))	CACHED	0	2018-12-05 20:39:58.373	2h 17m 5s	4m 21s	381.8%	592 MB	3.2 GB	44.4 MB	54.3 KB
1841	80/2e5707	1708899	run_hsic_lasso (20, B = 10 (1))	CACHED	0	2018-12-05 17:59:12.870	51m 15s	2m 48s	546.3%	1021.6 MB	3.6 GB	44.4 MB	54.3 KB
2350	d3/3da81d	1710571	run_hsic_lasso (20, B = 20 (8))	CACHED	0	2018-12-05 23:01:18.648	1h 22m 35s	1m 14s	489.3%	1.8 GB	4.5 GB	44.4 MB	54.3 KB
2019	e7/4e1001	1709166	run_hsic_lasso (20, B = 0 (5))	CACHED	0	2018-12-05 19:16:38.062	56m 50s	7m 46s	1146.6%	28.5 GB	31.4 GB	44.4 MB	54.8 KB
1840	a2/65a285	1708894	run_hsic_lasso (20, B = 5 (1))	CACHED	0	2018-12-05 17:58:32.866	50m 25s	4m 43s	158.7%	582.6 MB	3.2 GB	44.4 MB	54.3 KB
2338	08/a81e16	1710562	run_hsic_lasso (20, B = 20 (7))	CACHED	0	2018-12-05 22:57:38.640	1h 2m	2m 6s	685.1%	1.8 GB	4.5 GB	44.4 MB	54.8 KB
2337	fa/a88dbc	1710561	run_hsic_lasso (20, B = 10 (7))	CACHED	0	2018-12-05 22:57:18.676	1h 2m 30s	2m 38s	547.3%	1020.7 MB	3.6 GB	44.4 MB	54.3 KB
1989	15/e5ebef	1709132	run_hsic_lasso (20, B = 0 (3))	CACHED	0	2018-12-05 19:00:28.026	1h 2m 35s	3m 56s	2008.5%	28.7 GB	31.5 GB	44.4 MB	54.3 KB
5458	13/4a1efa	1713724	prediction (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (4))	CACHED	0	2018-12-06 01:29:04.269	9.8s	2.7s	91.6%	37 MB	410 MB	5.1 MB	0
5331	c4/c3eb7d	1713597	analyze_features (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (2))	CACHED	0	2018-12-06 01:27:59.531	9.8s	486ms	59.9%	24.2 MB	317.8 MB	2.8 MB	0
5311	d6/2edd44	1713577	analyze_features (LARS, 20 causal (3))	CACHED	0	2018-12-06 01:27:49.532	9.9s	460ms	57.2%	26.7 MB	323 MB	3.3 MB	0
7425	01/271a2d	1715693	analyze_features (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (10))	CACHED	0	2018-12-06 01:40:36.150	9.7s	527ms	87.3%	26.6 MB	320.2 MB	3.3 MB	0
5552	b1/5d775d	1713817	prediction (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (5))	CACHED	0	2018-12-06 01:29:54.276	9.9s	2.7s	89.6%	51.1 MB	518.1 MB	8.7 MB	32 B
5747	59/91d7e7	1714013	analyze_features (LARS, 20 causal (6))	CACHED	0	2018-12-06 01:31:19.079	5.2s	315ms	71.7%	7.6 MB	327.9 MB	843.5 KB	0
5243	39/3a8eca	1713510	analyze_features (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (1))	CACHED	0	2018-12-06 01:27:19.070	5.3s	372ms	68.9%	16.3 MB	188.3 MB	2.5 MB	0
6089	59/bbae79	1714355	analyze_features (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (7))	CACHED	0	2018-12-06 01:34:54.500	4.9s	288ms	76.0%	27.7 MB	323.5 MB	3.5 MB	0
6430	6a/2774fd	1714696	analyze_features (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (9))	CACHED	0	2018-12-06 01:37:35.597	10s	462ms	80.7%	27.7 MB	323.4 MB	3.5 MB	0
5549	42/edec18	1713816	prediction (mRMR, 20 causal (5))	CACHED	0	2018-12-06 01:29:54.236	9.9s	2.6s	86.3%	50.7 MB	517.8 MB	8.7 MB	32 B
5573	af/868fe8	1713840	analyze_features (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (5))	CACHED	0	2018-12-06 01:30:00.054	4.3s	358ms	63.3%	23.2 MB	317.8 MB	2.8 MB	0
5324	0e/2f57a1	1713590	prediction (mRMR, 20 causal (2))	CACHED	0	2018-12-06 01:27:59.214	9.8s	2.6s	72.6%	45.6 MB	480 MB	7.2 MB	32 B
5748	c1/4ccc21	1714014	prediction (LARS, 20 causal (6))	CACHED	0	2018-12-06 01:31:19.120	9.9s	2.9s	81.2%	47 MB	498.5 MB	7.4 MB	32 B
5909	12/56f5c4	1714176	prediction (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (6))	CACHED	0	2018-12-06 01:32:49.129	9.9s	2.7s	75.8%	37.9 MB	416.8 MB	5.3 MB	32 B
5592	b2/1115b1	1713857	prediction (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (5))	CACHED	0	2018-12-06 01:30:09.393	9.9s	3s	52.9%	25.7 MB	315.8 MB	3 MB	0
5454	df/16cba3	1713719	prediction (mRMR, 20 causal (4))	CACHED	0	2018-12-06 01:28:59.588	9.8s	2.9s	91.3%	37.9 MB	416.7 MB	5.2 MB	32 B
6140	a4/bc7411	1714407	analyze_features (LARS, 20 causal (10))	CACHED	0	2018-12-06 01:35:19.335	5.1s	300ms	84.1%	28.1 MB	327.8 MB	380.6 KB	428 B
5312	d9/2e246a	1713578	prediction (LARS, 20 causal (3))	CACHED	0	2018-12-06 01:27:49.590	9.9s	2.9s	61.9%	27.6 MB	321.5 MB	3.6 MB	0
5306	d0/f4dc22	1713572	prediction (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (2))	CACHED	0	2018-12-06 01:27:49.312	10s	3s	44.0%	21.6 MB	315.6 MB	2.8 MB	0
5591	9e/898be0	1713858	analyze_features (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (5))	CACHED	0	2018-12-06 01:30:09.442	9.9s	579ms	41.5%	18.1 MB	195.4 MB	2.8 MB	0
7426	6e/a6f308	1715692	prediction (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (10))	CACHED	0	2018-12-06 01:40:36.086	9.7s	3.2s	87.4%	28.3 MB	328.8 MB	3.6 MB	0
5534	4a/d952ca	1713800	prediction (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (3))	CACHED	0	2018-12-06 01:29:49.217	10s	2.6s	75.2%	41 MB	446.7 MB	6 MB	32 B
5901	d7/fad888	1714168	analyze_features (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (6))	CACHED	0	2018-12-06 01:32:39.406	4.7s	395ms	84.5%	17.3 MB	192.9 MB	2.8 MB	0
6142	e8/10627a	1714409	prediction (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (8))	CACHED	0	2018-12-06 01:35:24.146	10.1s	2.9s	75.0%	28.3 MB	328.7 MB	3.6 MB	0
6131	59/6e56af	1714396	prediction (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (8))	CACHED	0	2018-12-06 01:35:14.458	9.7s	3s	80.3%	32.2 MB	361.2 MB	4.1 MB	0
5125	d1/4f5912	1713391	prediction (LARS, 20 causal (2))	CACHED	0	2018-12-06 01:26:29.439	10s	2.8s	74.8%	36.8 MB	407.8 MB	4.9 MB	0
5346	44/3fb296	1713612	prediction (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (2))	CACHED	0	2018-12-06 01:28:09.336	9.8s	3.1s	45.8%	25.9 MB	317.7 MB	3.1 MB	0
5510	ed/f5940e	1713775	prediction (mRMR, 20 causal (3))	CACHED	0	2018-12-06 01:29:34.308	9.8s	2.9s	92.9%	36.6 MB	403.7 MB	4.9 MB	0
5364	ca/c4e424	1713630	prediction (LARS, 20 causal (5))	CACHED	0	2018-12-06 01:28:19.312	10.1s	3.1s	48.4%	30.1 MB	331 MB	3.8 MB	0
5921	e0/23553a	1714187	analyze_features (LARS, 20 causal (7))	CACHED	0	2018-12-06 01:32:54.237	5.1s	313ms	63.7%	24.2 MB	317.7 MB	2.8 MB	0
