task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
1091	a5/a019bb	1761935	run_lars (10 (10))	CACHED	0	2018-12-11 06:58:21.974	10s	992ms	659.8%	40.5 MB	1.6 GB	27.1 MB	0
279	45/507a86	1760144	run_mrmr (5 (8))	CACHED	0	2018-12-10 23:39:08.652	4h 10m 53s	3.5s	359.7%	16.2 MB	1.1 GB	2.3 MB	0
925	7a/a6f71a	1761769	run_lars (10 (8))	CACHED	0	2018-12-11 06:37:51.918	10s	1.1s	517.8%	50.2 MB	1.6 GB	27.1 MB	0
794	da/0f5918	1761683	run_mrmr (10 (3))	CACHED	0	2018-12-11 06:21:11.911	21m	9.1s	240.6%	83.8 MB	1.2 GB	42.6 MB	15.5 MB
249	40/47761c	1760209	run_mrmr (5 (2))	CACHED	0	2018-12-10 23:39:16.316	4h 12m 25s	2.7s	1062.7%	29.8 MB	1.2 GB	7.5 MB	0
2461	f3/fa1ea6	1710722	run_mrmr (20 (10))	CACHED	0	2018-12-06 00:25:08.884	39m 15s	33.2s	39.9%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
393	78/6d43ac	1760014	run_lars (20 (9))	CACHED	0	2018-12-10 23:38:26.280	8.9s	1.3s	428.1%	43.9 MB	1.6 GB	27.1 MB	0
1885	a8/ba5f78	1708985	run_mrmr (20 (2))	CACHED	0	2018-12-05 18:21:07.918	48m 40s	19.2s	73.0%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
583	07/b4edfc	1760252	run_mrmr (5 (7))	CACHED	0	2018-12-10 23:39:25.789	4h 34m 11s	5.2s	267.6%	68.8 MB	1.2 GB	27.1 MB	4 MB
2017	71/12c9c6	1709169	run_mrmr (20 (5))	CACHED	0	2018-12-05 19:19:03.073	48m 10s	30.4s	36.3%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
1001	f0/25d716	1761843	run_mrmr (10 (6))	CACHED	0	2018-12-11 06:45:11.980	28m 35s	6.1s	323.2%	68.6 MB	1.2 GB	27.1 MB	0
977	32/f37bdc	1761819	run_mrmr (10 (7))	CACHED	0	2018-12-11 06:44:01.932	14m 35s	10.9s	130.0%	83.8 MB	1.2 GB	42.6 MB	15.5 MB
653	34/0d8ba4	1761267	run_mrmr (5 (10))	CACHED	0	2018-12-11 05:24:01.691	56m 25s	2.8s	305.6%	44 MB	1.2 GB	26.6 MB	0
2442	0c/572727	1710700	run_mrmr (20 (9))	CACHED	0	2018-12-06 00:11:18.854	52m 15s	20.2s	74.5%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
258	66/2f9f75	1760138	run_lars (5 (8))	CACHED	0	2018-12-10 23:39:08.361	9s	1.9s	288.3%	15.6 MB	1.5 GB	1.9 MB	0
1988	63/7dc670	1709133	run_mrmr (20 (3))	CACHED	0	2018-12-05 19:00:33.025	59m	23.3s	78.1%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
775	60/2f8688	1761523	run_lars (10 (2))	CACHED	0	2018-12-11 06:12:51.856	10s	1.1s	730.9%	32.8 MB	1.6 GB	8 MB	0
561	49/ed0f47	1760506	run_lars (5 (6))	CACHED	0	2018-12-11 03:56:01.504	9.9s	933ms	631.3%	33.3 MB	1.7 GB	4 MB	0
411	ab/0089d6	1760017	run_lars (20 (6))	CACHED	-	2018-12-10 23:38:26.400	-	-	-	-	-	-	-
247	7a/308cb1	1760193	run_mrmr (5 (3))	CACHED	0	2018-12-10 23:39:10.835	4h 12m 11s	2.8s	1173.6%	36.5 MB	1.2 GB	7.5 MB	0
662	74/9a82e9	1761276	run_mrmr (5 (9))	CACHED	0	2018-12-11 05:24:11.710	56m 15s	2.8s	688.0%	20.7 MB	1.1 GB	3.5 MB	0
383	a1/4e3571	1760018	run_lars (20 (4))	CACHED	-	2018-12-10 23:38:26.447	-	-	-	-	-	-	-
403	d1/2b2fed	1760015	run_lars (20 (5))	CACHED	0	2018-12-10 23:38:26.320	8.9s	1.1s	538.5%	32.8 MB	1.6 GB	8 MB	0
381	3d/f008b8	1760016	run_lars (20 (1))	CACHED	-	2018-12-10 23:38:26.360	-	-	-	-	-	-	-
2463	e7/6bf764	1710724	run_hsic_lasso (20, B = 0 (10))	CACHED	0	2018-12-06 00:25:13.926	58m	3m 22s	2091.1%	28.6 GB	31.5 GB	44.4 MB	54.3 KB
1961	d4/483b2e	1709086	run_hsic_lasso (20, B = 10 (4))	CACHED	0	2018-12-05 18:51:02.996	56m 35s	1m 52s	740.3%	1010.7 MB	3.6 GB	44.4 MB	54.8 KB
1977	74/6f67ea	1763722	run_hsic_lasso (10, B = 10 (9))	CACHED	0	2018-12-11 14:24:43.214	1h 2m 25s	1m 36s	655.1%	1002 MB	2.6 GB	44.3 MB	54.3 KB
1959	8c/f0a2af	1709084	run_hsic_lasso (20, B = 0 (4))	CACHED	0	2018-12-05 18:50:27.997	58m 15s	3m 54s	1981.0%	28.4 GB	31.4 GB	44.4 MB	54.3 KB
2464	3e/4503e7	1710720	run_hsic_lasso (20, B = 5 (10))	CACHED	0	2018-12-06 00:24:53.900	45m 5s	6m 21s	47.4%	440.8 MB	3 GB	44.4 MB	54.3 KB
2336	34/2b9f7b	1710559	run_hsic_lasso (20, B = 5 (7))	CACHED	0	2018-12-05 22:57:03.638	1h 4m 50s	4m 41s	355.6%	590.2 MB	3.2 GB	44.4 MB	54.3 KB
825	9c/1ddb0d	1761486	run_hsic_lasso (5, B = 20 (1))	CACHED	0	2018-12-11 06:08:21.824	29m 20s	1m 42s	720.4%	1.8 GB	3.4 GB	44.3 MB	54.3 KB
896	0d/cbc722	1761695	run_hsic_lasso (5, B = 0 (2))	CACHED	0	2018-12-11 06:21:36.870	28m	5m 43s	2430.9%	28.6 GB	30.4 GB	44.3 MB	54.3 KB
1271	5a/a3f5e5	1762097	run_hsic_lasso (5, B = 20 (6))	CACHED	0	2018-12-11 07:32:57.065	31m 50s	54.3s	1793.3%	1.9 GB	3.5 GB	44.3 MB	54.3 KB
954	51/e2f9e3	1761798	run_hsic_lasso (5, B = 20 (8))	CACHED	0	2018-12-11 06:41:51.927	17m 20s	1m 19s	704.1%	1.8 GB	3.4 GB	44.3 MB	54.3 KB
2466	27/c798d8	1710723	run_hsic_lasso (20, B = 20 (10))	CACHED	0	2018-12-06 00:25:13.885	56m	1m 21s	697.7%	1.8 GB	4.5 GB	44.4 MB	54.8 KB
2444	f5/cc15c8	1710695	run_hsic_lasso (20, B = 5 (9))	CACHED	0	2018-12-06 00:04:38.843	59m 40s	4m	689.3%	314.7 MB	3 GB	44.4 MB	54.8 KB
2335	e9/5c78a1	1710558	run_hsic_lasso (20, B = 0 (7))	CACHED	0	2018-12-05 22:56:53.637	1h 7m 30s	7m 10s	1239.5%	28.5 GB	31.4 GB	44.4 MB	54.8 KB
824	c0/3b60e6	1761449	run_hsic_lasso (5, B = 10 (1))	CACHED	0	2018-12-11 06:05:41.819	32m 45s	2m 31s	860.7%	1002 MB	2.6 GB	44.3 MB	54.3 KB
1962	10/b121c8	1709085	run_hsic_lasso (20, B = 20 (4))	CACHED	0	2018-12-05 18:50:58.001	55m 55s	1m 22s	895.5%	2 GB	4.6 GB	44.4 MB	54.3 KB
2465	b6/c9b5a6	1710721	run_hsic_lasso (20, B = 10 (10))	CACHED	0	2018-12-06 00:24:58.899	42m 10s	3m 23s	477.5%	1022.6 MB	3.6 GB	44.4 MB	54.3 KB
1976	35/89b4d1	1763715	run_hsic_lasso (10, B = 5 (9))	CACHED	0	2018-12-11 14:24:03.215	1h 35s	1m 58s	532.1%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
1484	13/1f55de	1762285	run_hsic_lasso (10, B = 10 (1))	CACHED	0	2018-12-11 08:22:57.212	40m 5s	1m 50s	553.3%	1003.2 MB	2.6 GB	44.3 MB	54.3 KB
1768	05/d860f5	1763158	run_hsic_lasso (10, B = 5 (4))	CACHED	0	2018-12-11 11:44:52.775	1h 8m	3m 43s	840.0%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
1485	f0/4efd4f	1762288	run_hsic_lasso (10, B = 20 (1))	CACHED	0	2018-12-11 08:23:22.230	39m 25s	1m 30s	942.1%	1.9 GB	3.5 GB	44.3 MB	54.3 KB
2022	0b/3cacc5	1709165	run_hsic_lasso (20, B = 20 (5))	CACHED	0	2018-12-05 19:16:13.067	51m 30s	2m 1s	648.6%	1.9 GB	4.5 GB	44.4 MB	54.3 KB
