model	samples	features	causal	selected	i	tpr
HSIC_lasso_covars-B=5-M=3	1000	5000	5	50	3	0.8
HSIC_lasso_covars-B=5-M=3	1000	5000	5	50	6	0.6
HSIC_lasso_covars-B=5-M=3	1000	5000	5	50	7	0.6
HSIC_lasso_covars-B=5-M=3	1000	5000	5	50	8	0.2
HSIC_lasso_covars-B=5-M=3	1000	5000	5	50	9	0.4
HSIC_lasso_covars-B=5-M=3	100	10000	5	20	4	0.4
HSIC_lasso_covars-B=5-M=3	100	10000	5	27	10	0.0
HSIC_lasso_covars-B=5-M=3	100	10000	5	28	5	0.2
HSIC_lasso_covars-B=5-M=3	100	10000	5	35	6	0.2
HSIC_lasso_covars-B=5-M=3	100	10000	5	35	7	0.0
HSIC_lasso_covars-B=5-M=3	100	10000	5	37	9	0.0
HSIC_lasso_covars-B=5-M=3	100	10000	5	38	1	0.0
HSIC_lasso_covars-B=5-M=3	100	10000	5	40	8	0.0
HSIC_lasso_covars-B=5-M=3	100	10000	5	41	2	0.2
HSIC_lasso_covars-B=5-M=3	100	10000	5	50	3	0.0
HSIC_lasso_covars-B=5-M=3	100	1000	5	17	3	0.2
HSIC_lasso_covars-B=5-M=3	100	1000	5	19	8	0.2
HSIC_lasso_covars-B=5-M=3	100	1000	5	20	2	0.2
HSIC_lasso_covars-B=5-M=3	100	1000	5	26	10	0.6
HSIC_lasso_covars-B=5-M=3	100	1000	5	27	1	0.0
HSIC_lasso_covars-B=5-M=3	100	1000	5	27	5	0.2
HSIC_lasso_covars-B=5-M=3	100	1000	5	30	7	0.0
HSIC_lasso_covars-B=5-M=3	100	1000	5	31	6	0.2
HSIC_lasso_covars-B=5-M=3	100	1000	5	31	9	0.0
HSIC_lasso_covars-B=5-M=3	100	1000	5	32	4	0.2
HSIC_lasso_covars-B=5-M=3	100	2500	5	23	4	0.2
HSIC_lasso_covars-B=5-M=3	100	2500	5	24	6	0.0
HSIC_lasso_covars-B=5-M=3	100	2500	5	24	7	0.2
HSIC_lasso_covars-B=5-M=3	100	2500	5	26	5	0.2
HSIC_lasso_covars-B=5-M=3	100	2500	5	27	3	0.2
HSIC_lasso_covars-B=5-M=3	100	2500	5	29	8	0.0
HSIC_lasso_covars-B=5-M=3	100	2500	5	34	9	0.0
HSIC_lasso_covars-B=5-M=3	100	2500	5	37	1	0.0
HSIC_lasso_covars-B=5-M=3	100	2500	5	40	10	0.0
HSIC_lasso_covars-B=5-M=3	100	2500	5	42	2	0.2
HSIC_lasso_covars-B=5-M=3	100	5000	5	24	5	0.2
HSIC_lasso_covars-B=5-M=3	100	5000	5	27	1	0.0
HSIC_lasso_covars-B=5-M=3	100	5000	5	29	4	0.2
HSIC_lasso_covars-B=5-M=3	100	5000	5	29	6	0.0
HSIC_lasso_covars-B=5-M=3	100	5000	5	30	3	0.0
HSIC_lasso_covars-B=5-M=3	100	5000	5	31	2	0.2
HSIC_lasso_covars-B=5-M=3	100	5000	5	33	7	0.2
HSIC_lasso_covars-B=5-M=3	100	5000	5	33	8	0.0
HSIC_lasso_covars-B=5-M=3	100	5000	5	35	9	0.0
HSIC_lasso_covars-B=5-M=3	100	5000	5	39	10	0.0
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	10	1.0
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	1	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	2	0.6
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	3	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	4	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	5	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	6	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	7	0.6
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	8	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	1000	5	50	9	0.6
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	10	1.0
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	1	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	2	0.6
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	3	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	4	1.0
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	5	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	6	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	7	0.8
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	8	0.6
HSIC_lasso_no_covars-B=0-M=3	1000	2500	5	50	9	0.8
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	10	0.4
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	1	0.2
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	2	0.2
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	3	0.4
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	4	0.4
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	5	0.4
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	6	0.6
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	7	0.2
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	8	0.0
HSIC_lasso_no_covars-B=0-M=3	100	10000	5	50	9	0.0
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	10	0.6
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	1	0.6
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	2	0.4
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	3	0.4
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	4	0.6
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	5	0.4
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	6	0.4
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	7	0.6
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	8	0.2
HSIC_lasso_no_covars-B=0-M=3	100	1000	5	50	9	0.4
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	1	0.0
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	10	0.2
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	2	0.4
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	3	0.2
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	4	0.4
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	5	0.4
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	6	0.4
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	7	0.2
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	8	0.0
HSIC_lasso_no_covars-B=0-M=3	100	2500	5	50	9	0.4
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	10	0.4
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	1	0.2
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	2	0.2
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	3	0.0
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	4	0.6
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	5	0.4
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	6	0.6
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	7	0.2
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	8	0.0
HSIC_lasso_no_covars-B=0-M=3	100	5000	5	50	9	0.0
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	10	1.0
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	1	0.6
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	2	0.6
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	3	0.8
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	4	0.6
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	5	0.6
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	6	0.6
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	7	0.8
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	8	0.8
HSIC_lasso_no_covars-B=10-M=3	1000	10000	5	50	9	0.4
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	10	0.8
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	1	0.8
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	2	0.6
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	3	0.6
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	4	0.8
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	5	0.8
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	6	0.8
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	7	0.6
HSIC_lasso_no_covars-B=10-M=3	1000	1000	5	50	8	0.8
